Wed 28 Aug 2024, 09:59PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
16.544, 31, Clicked: ORANGE, x=1121,  y=721,  RED: x=213,  y=776,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=32,  score=18, DARK_ORANGE: x=1145,  y=698,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=10,  score=0, YELLOW: x=181,  y=906,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
16.741, 31, Clicked: ORANGE, x=1107,  y=733,  RED: x=199,  y=794,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=32,  score=18, DARK_ORANGE: x=1129,  y=718,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=11,  score=0, YELLOW: x=160,  y=919,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
16.921, 31, Clicked: ORANGE, x=1100,  y=743,  RED: x=192,  y=792,  dx=-0.018033962477015504,  dy=-0.07874810909593336,  clicks=32,  score=18, DARK_ORANGE: x=1115,  y=737,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=12,  score=0, YELLOW: x=172,  y=914,  dx=0.04732609042569621,  dy=-0.09814355610645878,  clicks=13,  score=13,
17.185, 31, Clicked: ORANGE, x=1075,  y=753,  RED: x=186,  y=762,  dx=-0.015800625767696898,  dy=-0.10377648991906627,  clicks=32,  score=18, DARK_ORANGE: x=1094,  y=764,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=13,  score=0, YELLOW: x=187,  y=887,  dx=0.0450927537163776,  dy=-0.07311517528332587,  clicks=13,  score=13,
17.478, 31, Clicked: ORANGE, x=1067,  y=768,  RED: x=181,  y=724,  dx=-0.015800625767696898,  dy=-0.10377648991906627,  clicks=32,  score=18, DARK_ORANGE: x=1070,  y=794,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=14,  score=0, YELLOW: x=203,  y=860,  dx=0.0450927537163776,  dy=-0.07311517528332587,  clicks=13,  score=13,
17.657, 31, Clicked: ORANGE, x=1036,  y=801,  RED: x=177,  y=702,  dx=-0.015800625767696898,  dy=-0.10377648991906627,  clicks=32,  score=18, DARK_ORANGE: x=1055,  y=813,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=15,  score=0, YELLOW: x=213,  y=844,  dx=0.0450927537163776,  dy=-0.07311517528332587,  clicks=13,  score=13,
18.266, 31, Clicked: ORANGE, x=1002,  y=845,  RED: x=165,  y=625,  dx=-0.015800625767696898,  dy=-0.10377648991906627,  clicks=32,  score=18, DARK_ORANGE: x=1006,  y=876,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=16,  score=0, YELLOW: x=246,  y=790,  dx=0.0450927537163776,  dy=-0.07311517528332587,  clicks=13,  score=13,
18.609, 31, Clicked: ORANGE, x=960,  y=881,  RED: x=160,  y=581,  dx=0.015800625767696898,  dy=-0.10377648991906627,  clicks=32,  score=18, DARK_ORANGE: x=978,  y=911,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=17,  score=0, YELLOW: x=265,  y=759,  dx=0.0450927537163776,  dy=-0.07311517528332587,  clicks=13,  score=13,
18.877, 31, Clicked: ORANGE, x=947,  y=891,  RED: x=165,  y=548,  dx=0.015800625767696898,  dy=-0.10377648991906627,  clicks=32,  score=18, DARK_ORANGE: x=957,  y=901,  dx=-0.06633104425312761,  dy=-0.0848633468541007,  clicks=18,  score=0, YELLOW: x=280,  y=736,  dx=0.0450927537163776,  dy=-0.07311517528332587,  clicks=13,  score=13,
19.007, 31, Clicked: ORANGE, x=944,  y=887,  RED: x=168,  y=531,  dx=0.015800625767696898,  dy=-0.10377648991906627,  clicks=32,  score=18, DARK_ORANGE: x=946,  y=887,  dx=-0.06633104425312761,  dy=-0.0848633468541007,  clicks=19,  score=0, YELLOW: x=287,  y=724,  dx=0.0450927537163776,  dy=-0.07311517528332587,  clicks=13,  score=13,
