Mon 29 Jan 2024, 10:52PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, BLUE x=273 y=387 dx=-0.015977644047738056 dy=-0.0987153224716598 clicks=0 score=0, RED x=898 y=378 dx=0.09930471421805133 dy=-0.011771734539614562 clicks=0 score=0, GREEN x=1216 y=222 dx=0.05969634481172388 dy=-0.080226843488447 clicks=0 score=0, 
16.605999999999998, 15, Clicked: RED, x=1021,  y=284,  BLUE: x=204,  y=331,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=15,  score=4, DARK_RED: x=1036,  y=258,  dx=-0.11834561610898757,  dy=-0.03859723088449488,  clicks=22,  score=6, GREEN: x=1116,  y=354,  dx=-0.04065544292078764,  dy=-0.053401347143566674,  clicks=17,  score=5,
17.305, 15, Clicked: BLUE, x=192,  y=285,  DARK_BLUE: x=211,  y=290,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=16,  score=5, RED: x=986,  y=242,  dx=-0.11834561610898757,  dy=-0.03859723088449488,  clicks=22,  score=6, GREEN: x=1099,  y=331,  dx=-0.04065544292078764,  dy=-0.053401347143566674,  clicks=17,  score=5,
17.439, 16, Clicked: BLUE, x=192,  y=285,  DARK_BLUE: x=212,  y=282,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=17,  score=5, RED: x=977,  y=239,  dx=-0.11834561610898757,  dy=-0.03859723088449488,  clicks=22,  score=6, GREEN: x=1096,  y=327,  dx=-0.04065544292078764,  dy=-0.053401347143566674,  clicks=17,  score=5,
17.608, 16, Clicked: BLUE, x=192,  y=285,  DARK_BLUE: x=214,  y=272,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=18,  score=5, RED: x=965,  y=235,  dx=-0.11834561610898757,  dy=-0.03859723088449488,  clicks=22,  score=6, GREEN: x=1092,  y=322,  dx=-0.04065544292078764,  dy=-0.053401347143566674,  clicks=17,  score=5,
17.743, 16, Clicked: BLUE, x=192,  y=285,  DARK_BLUE: x=215,  y=264,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=19,  score=5, RED: x=955,  y=232,  dx=-0.11834561610898757,  dy=-0.03859723088449488,  clicks=22,  score=6, GREEN: x=1088,  y=317,  dx=-0.04065544292078764,  dy=-0.053401347143566674,  clicks=17,  score=5,
17.844, 16, Clicked: BLUE, x=192,  y=285,  DARK_BLUE: x=216,  y=258,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=20,  score=5, RED: x=948,  y=230,  dx=-0.11834561610898757,  dy=-0.03859723088449488,  clicks=22,  score=6, GREEN: x=1086,  y=314,  dx=-0.04065544292078764,  dy=-0.053401347143566674,  clicks=17,  score=5,
17.977999999999998, 16, Clicked: BLUE, x=192,  y=285,  DARK_BLUE: x=217,  y=250,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=21,  score=5, RED: x=939,  y=227,  dx=-0.11834561610898757,  dy=-0.03859723088449488,  clicks=22,  score=6, GREEN: x=1083,  y=310,  dx=-0.04065544292078764,  dy=-0.053401347143566674,  clicks=17,  score=5,
18.921, 16, Clicked: RED, x=899,  y=213,  BLUE: x=226,  y=195,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=21,  score=5, DARK_RED: x=872,  y=205,  dx=-0.11834561610898757,  dy=-0.03859723088449488,  clicks=23,  score=7, GREEN: x=1060,  y=280,  dx=-0.04065544292078764,  dy=-0.053401347143566674,  clicks=17,  score=5,
19.053, 17, Clicked: RED, x=896,  y=213,  BLUE: x=228,  y=187,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=21,  score=5, DARK_RED: x=863,  y=202,  dx=-0.11834561610898757,  dy=-0.03859723088449488,  clicks=24,  score=7, GREEN: x=1057,  y=276,  dx=-0.04065544292078764,  dy=-0.053401347143566674,  clicks=17,  score=5,
19.187, 17, Clicked: RED, x=892,  y=216,  BLUE: x=229,  y=179,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=21,  score=5, DARK_RED: x=854,  y=199,  dx=-0.11834561610898757,  dy=-0.03859723088449488,  clicks=25,  score=7, GREEN: x=1053,  y=271,  dx=-0.04065544292078764,  dy=-0.053401347143566674,  clicks=17,  score=5,
